Set,Sentence1,Sentence2,Label,id,predicted,error_type
train,"If implantation occurs , the vast majority of cloned embryos fail to make it past the first trimester of pregnancy .",cloning,CON,5396,NEU,neutralized
test,What about all the CO2 emissions created by the manufacturing and assembling of wind farms or solar energy installations ?,nuclear energy,PRO,20596,CON,flipped
train,"Finally , even if safety concerns are sufficient to warrant a current ban on human reproductive cloning , such concerns would be temporary , and would abate as cloning becomes safer .",cloning,PRO,5686,NEU,neutralized
test,"Even when depicting nonhuman cloning , films ( such as Jurassic Park ) tend to portray products of cloning as menacing , modern-day Frankensteinian monsters of sorts , which serve to teach humans a lesson about the dangers of “ playing God . ”",cloning,PRO,4697,CON,flipped
dev,"Also , unlike wind and solar power , nuclear power can provide a continuous flow of energy that utilities can depend on any time of day .",nuclear energy,PRO,21256,NEU,neutralized
train,"It has been said that men on death row are inhuman , cold-blooded killers .",death penalty,PRO,9424,PRO,correct
train,""" If children want to rebel , they can do it in the way they wear their school uniform , "" he said .",school uniforms,PRO,25368,PRO,correct
train,The scientific literature is clear that marijuana is addictive and that its use significantly impairs bodily and mental functions .,marijuana legalization,CON,15145,CON,correct
dev,"If these weapons , ammunition and magazines are the standard , most common , selected for protection of self and others , why are the Democratic politicians at all levels of government trying to ban exactly these weapons and magazines for everyone EXCEPT government agents and law enforcement .",gun control,CON,13511,NEU,neutralized
test,"Since most forms of renewable energy do n’t fill the bill , “ nuclear fission today represents the only present-day zero-carbon technology with the demonstrated ability to meet most , if not all , of the energy demands of a modern economy . ”",nuclear energy,PRO,19308,NEU,neutralized
train,"More than 58,000 metric tons of highly radioactive spent fuel already has accumulated at reactor sites around the U.S. for which there currently is no permanent repository .",nuclear energy,CON,19171,NEU,neutralized
train,"It has never been considered either cruel or painful , in surgery , and it should not be allowed to fictionalize its harm within executions , as both surface and internall pain relievers are provided to the condemned , with that procedure , just as with patients .",death penalty,PRO,9104,PRO,correct
train,"Additionally , there are several states which give the * rapist * who parented a child rights to the child , meaning that if a victim of rape wants to give up her child she must first gain the consent of her rapist .",abortion,PRO,2408,PRO,correct
train,"It is dangerous because it is been droped on Japan , Russia and other countries .",nuclear energy,CON,21719,CON,correct
train,I think that ’s probably pretty likely .,abortion,NEU,3421,PRO,polarized
test,You believe that the government should have the monopoly on force .,gun control,CON,13655,PRO,flipped
train,"The principal causes of homicide are fights involving fists and feet , stabbing and cutting by glass or a broken bottle , shooting and strangling .",death penalty,NEU,8799,PRO,polarized
test,"Any method of procreation that does not implement traditional modes of conception , i.e. , not involving the union of sperm and ova , is guilty of one ( or both ) of these infractions ( Goodman , 2008 ; Tierney , 2007 ) .",cloning,CON,6762,PRO,flipped
train,"Abortion , she insists , is a right integral to women ’s own autonomy , not a privilege to be used as infrequently as possible .",abortion,PRO,1103,NEU,neutralized
train,"Consumer spending uptick : Lastly , extra pay in the pockets of some 16.5 million workers could trickle down to retailers and provide a boost to the economy .",minimum wage,PRO,16495,CON,flipped
train,"For many legal scholars , moral belief or repugnance "" is not sufficient to outlaw conduct engaged in by consenting adults "" .",cloning,PRO,6824,NEU,neutralized
train,It shows their age : At the end of the day you want people to know that your children are children .,school uniforms,PRO,22951,NEU,neutralized
train,We could make plants resistant to pollution and bugs .,cloning,PRO,5805,NEU,neutralized
test,"The researchers looked at the first year of implementation , with a particular focus on prices .",minimum wage,NEU,18376,NEU,correct
dev,The above seems pretty clear to me .,abortion,NEU,704,CON,polarized
dev,"April 16th , 2006 : "" Wind and solar power have their place , but because they are intermittent and unpredictable they simply ca n't replace big baseload plants such as coal , nuclear and hydroelectric .",nuclear energy,PRO,20284,PRO,correct
train,"If all three premises are true , the pro-life conclusion follows .",abortion,CON,2257,CON,correct
test,"With persistent unemployment and underemployment , and many parts of the country experiencing a housing crunch , a single marijuana arrest can have dire consequences .",marijuana legalization,PRO,15552,NEU,neutralized
train,Note the discussion in the paper I linked to of the procedure known as craniotomy .,abortion,NEU,3341,NEU,correct
test,"It may not end with the murderer ’s execution , but the execution does engender a feeling of relief at no longer having to think about the ordeal — a feeling which often fails to arise while the murderer still lives on .",death penalty,PRO,7763,PRO,correct
train,"Under the monopsonistic assumption , an appropriately set minimum wage could increase both wages and employment , with the optimal level being equal to the marginal product of labor .",minimum wage,PRO,17288,PRO,correct
test,There is widespread bipartisan support for raising the minimum wage .,minimum wage,PRO,17748,PRO,correct
train,"If the Fukushima reactors were automatically flooded as soon as the earthquake was detected , not manually and only several hours after the tsunami hit , there would have been no accident .",nuclear energy,PRO,19899,CON,flipped
train,"“ It ’s easy to blame the gun when the system is at fault , ” said Eric Billings , treasurer at the Emanuel Lutheran church .",gun control,CON,12303,NEU,neutralized
test,"The sides involved in the debate are the self-described "" pro-choice "" movement ( emphasizing the right of women to decide whether to terminate a pregnancy ) and the self-described "" pro-life "" movement ( emphasizing the right of the embryo or fetus to gestate to term and be born ) .",abortion,NEU,1514,PRO,polarized
train,Pena-Rodriguez v. Colorado Whether a no-impeachment rule constitutionally may bar evidence of racial bias offered to prove a violation of the Sixth Amendment right to an impartial jury .,death penalty,NEU,7652,CON,polarized
test,Raising the minimum wage would decrease employee benefits and increase tax payments .,minimum wage,CON,17486,NEU,neutralized
train,Do people really get stuck in minimum-wage jobs their whole lives ?,minimum wage,NEU,16793,PRO,polarized
train,"According to a hospital document , she had "" right heart failure , "" and her doctors told her that if she continued with the pregnancy , her risk of mortality was "" close to 100 percent .",abortion,PRO,3317,NEU,neutralized
dev,"To others , it is an accident waiting to happen , a terrorism risk , a reckless use of technology than can permanently scar our planet , leaving vast swathes uninhabitable for thousands of years .",nuclear energy,CON,20919,PRO,flipped
train,"Death on the gallows is easily bungled : If the drop is too short , there will be a slow and agonizing death by strangulation .",death penalty,CON,10368,PRO,flipped
train,Much now I can convince my principal to get us off these dumb uniforms ????,school uniforms,CON,24854,CON,correct
train,"But here 's the rub : We can pretend sex differences do not exist , but it is women who bear the burden when we do so .",abortion,PRO,968,NEU,neutralized
train,"Or , at least they should when this leading expert on all matters gun control speaks out so provocatively and persuasively .",gun control,NEU,13887,CON,polarized
train,"Currently , over 2,000 metric tons of high-level radioactive waste and 12 million cubic feet of low level radioactive waste are produced annually by the 103 operating reactors in the United States .4 No country in the world has found a solution for this waste .",nuclear energy,CON,21627,NEU,neutralized
train,I dont think so .,nuclear energy,NEU,21527,CON,polarized
test,"Virginia B. Draa , Assistant Professor of Human Ecology at Youngstown State University , said uniforms can decrease peer pressure and blur class lines between students .",school uniforms,PRO,24380,CON,flipped
train,Around 85 % argue that it reduces the need for discipline in the classroom while 79 % say it promotes an increased sense of student safety .,school uniforms,PRO,23713,PRO,correct
test,"The other major federal barometer of substance use , the National Survey on Drug Use and Health , has a one - or two-year lag compared to MTF .",marijuana legalization,NEU,15998,CON,polarized
train,All uniforms do is make kids dislike nice clothes .,school uniforms,CON,23141,NEU,neutralized
test,The appropriate terms with which to designate the human organism prior to birth are also debated .,abortion,NEU,2310,PRO,polarized
train,"In sum , legalization would put additional strain on an already faltering economy .",marijuana legalization,CON,15752,PRO,flipped
dev,"Public Opinion Split on Preferred Punishment A recent ABC News/Washington Post poll found that while 64 % of Americans support the death penalty when no other alternative is offered , they remain divided on the appropriate punishment for those convicted of murder when given the option of life in prison .",death penalty,NEU,7065,NEU,correct
test,"Today , parents can see the development of their children with their own eyes .",abortion,CON,1543,NEU,neutralized
train,"This interactive visualization created by FRED ( Free Energy Data ) , displays energy supply ( by source ) and demand ( by use ) for each state in the US from 1960 to 2010 ; forecasts through 2035 are available as well .",nuclear energy,NEU,21978,NEU,correct
train,"In practice , the death penalty does not single out the worst offenders .",death penalty,CON,9062,PRO,flipped
test,Raise the min wage and costs increase .,minimum wage,CON,17302,CON,correct
train,"^ "" Labor Criticizes "" .",minimum wage,NEU,16506,CON,polarized
train,Death Row Syndrome needlessly risks making these individuals dangerous to those around them .,death penalty,CON,8734,CON,correct
test,"The child would be destined to live in the shadows of her genetic predecessor ( Holm , 1998 ) .",cloning,CON,5765,CON,correct
train,Diseases and disorders can be cured .,cloning,PRO,5119,NEU,neutralized
test,He goose stepped his own people into a history of bloodshed .,gun control,NEU,12045,CON,polarized
test,"Other harder crimes , such as robbery and rape , can also be caused by the lapse in judgment due to smoking weed .",marijuana legalization,CON,15944,CON,correct
test,It is a myth that the minimum wage is only for teens and entry level workers .,minimum wage,PRO,17274,PRO,correct
dev,"Money is not an inexhaustible commodity and the government may very well better spend our ( limited ) resources on the old , the young and the sick etc. , rather than on the long term imprisonment of murderers , rapists , etc .",death penalty,PRO,7315,PRO,correct
train,"If Amendment 2 passes , marijuana with THC would be legal .",marijuana legalization,NEU,14992,CON,polarized
test,"Wilmut , Ian et al. ( 1997 ) , “ Viable Offspring Derived from Fetal and Adult Mammalian Cells . ”",cloning,NEU,6455,CON,polarized
train,"Removing a diseased organ can be a morally permissible act , if other criteria are met , according to this article from the National Catholic Center of Bioethics .",abortion,PRO,2346,CON,flipped
test,"Also , the implications of what happens when the process goes wrong are still not fully understood , which is not good and could lead to problems that we will not be able to handle .",cloning,CON,6701,NEU,neutralized
train,"Italy , Belgium , Spain and Switzerland have also principally decided to become nuclear energy-free .",nuclear energy,CON,22075,CON,correct
train,( + ) Legally approved for the medical treatment of Multiple Sclerosis .,marijuana legalization,PRO,14150,CON,flipped
test,"Serious crimes — like murder , rape , and arson — are actually down over the past 2 ½ years , he said .",marijuana legalization,NEU,15495,PRO,polarized
train,"Since its creation and through many changes in culture , our Constitution has shown again and again the wisdom and forethought of its architects , so it is only natural to continue to rely on it for guidance and authority .",gun control,CON,13548,PRO,flipped
train,"But my instinct was that if someone is shooting at you , it is generally better to shoot back than to cower and pray .",gun control,CON,11075,NEU,neutralized
train,"Between 1967 and 1980 , death sentences or convictions were reversed for 1899 of the 2402 people on death row , a reversal rate of nearly eighty percent .",death penalty,CON,10022,NEU,neutralized
train,"The human dignity argument seems to be premised on the concept of genetic determinism , that people are equated to their genes .",cloning,NEU,5071,CON,polarized
train,"It is estimated that in 1972 illegal abortions resulted in 39 maternal deaths , which occurred before abortion was legal .",abortion,PRO,3234,PRO,correct
test,"As for my objective , other than just enjoying occasional political banter , I ’ve been trying to refocus discussions on finding common ground that can lead to productive outcomes .",gun control,NEU,13827,CON,polarized
train,The 2nd Amendment is to protect American citizens FROM the military and police .,gun control,CON,11433,NEU,neutralized
test,"And I think future generations will look back at this history of our country and call us barbarians for murdering millions of babies who we never gave them a chance to live . """,abortion,NEU,3263,PRO,polarized
train,Section 3 deals with the various strategies which have been used to oppose uranium mining and assesses their effectiveness in challenging the structures which underlie nuclear power .,nuclear energy,NEU,21678,NEU,correct
train,"In 1993 , newly available DNA evidence proved he was not the rapist-killer , and he was released after the prosecution dismissed the case .",death penalty,CON,9898,NEU,neutralized
test,"Smoking weed is generally considered as a “ victimless crime ” , where only the user is at risk of experiencing the effects .",marijuana legalization,PRO,14133,CON,flipped
train,"Studies suggest that the discovery of ECB system raised the possibility that ECB ’s could be important modulators of anxiety , and might contribute to individual differences in anxious temperament and risk for anxiety disorders along with stress , depression , and pain .",marijuana legalization,PRO,14328,NEU,neutralized
test,The nuclear industry is responsible for horrific wastes which will endure as a nightmare for our grandchildren .,nuclear energy,CON,20940,PRO,flipped
train,"Hurst 's attorneys say he should have his death sentence reduced because , "" persons previously sentenced to death for a capital felony are entitled to have their now-unconstitutional death sentences replaced by sentences of life without parole . """,death penalty,NEU,8841,PRO,polarized
train,The case for a higher minimum wage grows even weaker when you stop to consider that there are vastly superior alternatives for steering money to low-income households .,minimum wage,CON,18538,PRO,flipped
train,What we read is what the writer wanted us to remember .,cloning,NEU,3993,NEU,correct
train,You can not have so-called therapeutic cloning without reproductive cloning because the technique to make cloned babies is the same as to make a cloned embryo to try to make replacement tissues .,cloning,CON,6658,PRO,flipped
test,"See Princeton Survey Research Associates on behalf of the Center for Gender Equality , "" Progress and Perils : How Gender Issues Unite and Divide Women , Part Two , "" ( April 7 , 2003 ) : 9-10 .",abortion,NEU,1105,PRO,polarized
train,Texas has attempted to justify the law as a way to protect women from the dangers of abortion .,abortion,CON,2495,CON,correct
train,"The allied concept of “ carpet bombing ” civilian population centers ( two days of incendiary carpet bombing by U.S. pilots killed more than 100,000 residents of Tokyo during the war ) had now advanced to the next level : total annihilation .",nuclear energy,CON,21046,CON,correct
train,Thus for example government action to stop mining would be likely to take place only if there were mass mobilisation on the issue .,nuclear energy,NEU,19574,NEU,correct
train,"However , if that is the case , there are plenty of wonderful people out there who are .",abortion,NEU,216,PRO,polarized
test,"She is so ill that she can not be transported to the operating room for an abortion , so it is done on her bed in the intensive care unit .",abortion,NEU,1821,PRO,polarized
test,"Li , Ziyi ( 2006 ) , “ Cloned Ferrets Produced by Somatic Cell Nuclear Transfer . ”",cloning,NEU,4424,PRO,polarized
test,"Although Missy died before she was successfully cloned , Hawthorne banked her DNA in the hopes of ultimately succeeding in this endeavor .",cloning,NEU,6655,NEU,correct
train,"However , attempts to clone pets represent little more than exaggerated claims and false promises .",cloning,CON,4403,CON,correct
test,"For there is no authority except from God , and those that exist have been instituted by God .",death penalty,CON,9076,NEU,neutralized
train,Uniforms are an unnecessary expense and can create an economic hardship themselves .,school uniforms,CON,23627,CON,correct
train,"People with more expertise in the group can form partnerships with those who have less expertise and together engage in letter-writing , leaflet production , speaking engagements and so forth .",nuclear energy,NEU,19910,PRO,polarized
train,And gun control does n’t work – the empirical data overwhelmingly demonstrate that strict gun-control laws consistently produce more crime and more murders .,gun control,CON,12525,NEU,neutralized
train,"Jim Borghesani with the "" Yes on Four "" campaign faced off with state Sen. Jason Lewis from the "" Vote No on Four "" campaign .",marijuana legalization,NEU,15340,PRO,polarized
train,"Unlike the theater in Aurora , the school was brightly lit , and not as densely packed .",gun control,NEU,11122,CON,polarized
train,Exploitation It is also not known completely if human cloning might eventually be used to exploit people for the vested interests of others .,cloning,CON,4339,PRO,flipped
train,Reproductive cloning could create a division among people .,cloning,CON,6227,NEU,neutralized
train,It is also possible that it will be brought up differently .,cloning,NEU,6665,CON,polarized
train,This is naturally upsetting but not as upsetting as your next discovery .,school uniforms,NEU,22652,NEU,correct
train,"of the top five countries that do executions , we ’re in league with China , Saudi Arabia , Iran , Iraq – and what kind of company is that ?",death penalty,CON,9620,NEU,neutralized
test,"Legal counsel certainly ( funny , how we never hear about our SOCIALIST legal system ) .",gun control,NEU,11444,NEU,correct
train,"Genetically identical clones , like twins , might have an easier time communicating and cooperating , Lederberg wrote , on the assumption “ that genetic identity confers neurological similarity , and that this eases communication ” and cooperation .",cloning,PRO,4518,NEU,neutralized
train,"The exact clothes can be updated with the times , but the overall look of the uniform provides a link with the school ’s past .",school uniforms,PRO,24879,PRO,correct
train,Last September the Booth School of Business at the University of Chicago polled 42 economists about a $ 15 minimum wage hike -- but there was no clear consensus about whether the wage increase would affect the unemployment rate for low-wage U.S. workers .,minimum wage,NEU,16749,PRO,polarized
test,"It would put too many drugs on the street , we do n’t need that . ”",marijuana legalization,CON,15606,CON,correct
train,"While contraception and technologies like artificial insemination and IVF have done much to separate sex from reproduction , no reproductive technology other than cloning has actually made it possible to eliminate the need for biological contributions from two human beings to create a child .",cloning,PRO,4746,PRO,correct
train,"In addition , policymakers have looked to RESOLVE to provide information about the ethical issues surrounding egg donation and research on discarded embryos from fertility clinics -- we feel we have a unique perspective on that aspect of the debate .",cloning,PRO,5910,PRO,correct
train,"The notion that experiments can be ethically justified by their results would render medical ethics meaningless , since it implies that any experiment can turn out to be ethically justified if harm happens not to befall the subjects , or if the harm to some subjects is judged to be outweighed by the benefits to others .",cloning,NEU,5616,CON,polarized
train,"The negative effects of it includes , slowed reaction time , and brain damage on young users who are still in major development of their brain until the age of at least 25 .",marijuana legalization,CON,14606,NEU,neutralized
train,"As opposed to the United States , which has high levels of guns and low levels of gun control , these countries have high levels of both gun control and gun ownership .",gun control,PRO,12474,PRO,correct
train,Guardian journalist George Monbiot wrote a devastating exposé of Caldicott ’s looseness with facts following a debate with Caldicott on Amy Goodman ’s Democracy Now !,nuclear energy,NEU,20798,CON,polarized
train,Both the Clinton and Bush administrations have been in favour of school uniforms .,school uniforms,PRO,24796,NEU,neutralized
test,The Graham 20-Week Pain Capable Unborn Child Protection Act is the most important federal pro-life effort today .,abortion,CON,2196,PRO,flipped
test,"The Institute for Policy Studies estimated in 2012 that personal income has grown by 100.6 % since 1968 , while the minimum wage has stagnated : "" If our standard for minimum wages had kept pace with overall income growth in the American economy , it would now be $ 21.16 per hour . """,minimum wage,PRO,17661,NEU,neutralized
train,"It is hard to say whether this is true , but we have seen devastating consequences of other research-programs , even with good intentions , such as nuclear research .",cloning,CON,6579,NEU,neutralized
train,Supporters say all the measures would protect women ’s health .,abortion,PRO,2016,CON,flipped
train,It can be a blessing for someone suffering from nightmares associated with PTSD .,marijuana legalization,PRO,14272,CON,flipped
train,"Even if you lived right next door to a nuclear power plant , you would still receive less radiation each year than you would receive in just one round-trip flight from New York to Los Angeles . """,nuclear energy,PRO,20623,PRO,correct
train,The constant contradicting killed it for me .,gun control,NEU,11538,PRO,polarized
train,An amendment to the Statute of Labourers in 1389 effectively fixed wages to the price of food .,minimum wage,PRO,18877,NEU,neutralized
train,"I know that that is a very tough situation , but a baby is a baby even if it is created in an ideal situation .",abortion,CON,3669,CON,correct
train,"But like today ’s pro-life feminists , our feminist foremothers also recognized that women need not bear children to share in the celebration of womanhood .",abortion,PRO,3087,PRO,correct
train,Forty-nine percent said it should be illegal in all or most cases — a 3-point pro-life advantage .,abortion,NEU,2383,CON,polarized
train,"• An increase in consumer prices , driven by companies offsetting increased labor costs .",minimum wage,CON,18162,PRO,flipped
train,"Some news references to ProCon.org in 2010 have come from articles in the Washington Post , Reuters , Yahoo !",abortion,NEU,2281,NEU,correct
train,"Release 's actions have included challenging such stigmatisation with its "" Nice People Take Drugs "" advertising campaign .",marijuana legalization,PRO,14682,NEU,neutralized
train,"LFTR proponents are just getting a “ free ride ” at public expense , just like all the waste Tokomak fusion research ( 100 billion USD ) , that has not yet yielded any commercial fusion reactor design ?",nuclear energy,CON,20443,PRO,flipped
dev,"As an example of the arbitrariness of the death penalty , another man , Ernest Willis , also convicted of arson-murder on the same sort of flimsy and unscientific testimony , was freed from Texas death row six months after Willingham was executed .",death penalty,CON,8208,NEU,neutralized
dev,"One of the witnesses against the death penalty before the Senate committee last year was Earl Charles , a man who spent over three years on a Georgia death row for murders he did not commit .",death penalty,CON,8800,NEU,neutralized
train,"The first uses of bone marrow transplantation to treat chronic myeloid leukemia involved identical twins , but doctors soon discovered that siblings , or even unrelated donors with identical human leukocyte antigens , could also provide bone marrow .",cloning,PRO,4229,CON,flipped
test,"At its core , however , this objection assumes the very controversial thesis that either a person ’s genes play an almost fatalistic role in her life decisions , or that individuals in society will assume some robust version of genetic determinism to be true and will treat cloned children according to that assumption .",cloning,NEU,6457,NEU,correct
dev,Common Dreams has been providing breaking news & views for the progressive community since 1997 .,death penalty,NEU,7985,PRO,polarized
train,Their views lost at that time .,gun control,NEU,11798,NEU,correct
dev,Why not let the market place arrive at that ?,minimum wage,CON,18145,CON,correct
train,"Secondly , nuclear energy is a backup power source for solar power if it is a cloudy day this would be a backup power source.Thirdly , Australia is a stable country so we will rarely have natural disaster and that 's why I want nuclear power plants in Australia .",nuclear energy,PRO,21593,PRO,correct
train,Unbearable emotional pressures on a teenager trying to establish his or her identity .,cloning,NEU,4332,PRO,polarized
test,"Therefore , no one should have any expectations from cloned people .",cloning,NEU,3987,NEU,correct
train,"But most important the United States could safe a lot of electric energy by introducing European standard for appliances , insulation of homes and building passive ( zero ) energy houses etc .",nuclear energy,NEU,20778,CON,polarized
test,"“ It ’s almost the perfect storm , ” he said .",marijuana legalization,NEU,14815,CON,polarized
train,"Consider the contrast between Massachusetts , a high-cost , high-wage jurisdiction , and Mississippi , a low-cost , low-wage one .",minimum wage,PRO,18005,PRO,correct
train,Whitman would certainly have killed many more than 12 from the 28th story observation deck had he not been harried by the civilians ’ return fire .,gun control,CON,11717,CON,correct
train,"These three health topics explore the core questions : "" Should abortion be legal ?",abortion,NEU,1738,NEU,correct
train,"There are some cases where the odds for both mother and child are bleak , and this is when choice becomes a critical factor .",abortion,PRO,1443,NEU,neutralized
train,"The extra cost goes up to $ 216,000 per case when all first-degree murder trials and their appeals are considered , many of which do not end with a death sentence and an execution .",death penalty,CON,8207,PRO,flipped
train,"I , like several people so far , am using this site as a source for a report that I am doing .",cloning,NEU,5895,PRO,polarized
train,See 219 U.S. App .,nuclear energy,NEU,19250,PRO,polarized
test,[ Huckabee ] I probably do n't think so .,marijuana legalization,NEU,15353,CON,polarized
train,This has been the intractable question for recent administrations - one they are increasingly desperate to resolve .,gun control,NEU,11055,CON,polarized
train,"Sure , the number of people consuming marijuana in the past year in Colorado has been fairly flat , but that ’s a pretty vague figure , Pacula said , encompassing both once-a-year dabblers and daily puffers .",marijuana legalization,NEU,14379,PRO,polarized
train,"That 's why even if pro-life advocates were hypocritical in this regard ( though I personally do n't know any abortion opponents who champion other sorts of murder ) that would say nothing about the main questions at hand : 1 ) when does human personhood begin and 2 ) should the law protect persons at all ages , locations , and stages of development .",abortion,CON,3870,NEU,neutralized
test,"It should be intuitively obvious to everyone that if you legalize marijuana for adults , more children will use marijuana because the message that it 's dangerous will be blunted . """,marijuana legalization,CON,14677,PRO,flipped
dev,"The charter of Birthright , the anti-abortion “ problem pregnancy ” counseling organization , prohibits referral for contraception .",abortion,CON,3027,CON,correct
train,The first to cover men was introduced in 1937 in Oklahoma .,minimum wage,NEU,17648,CON,polarized
train,Personally I would task/reward/encourage every University in the UK to produce a working Thorium Reactor model every year .,nuclear energy,PRO,19538,PRO,correct
train,"And if the issue here is ultimately about the potential damage to franchisees ( the “ small businesses ” according to their logic ) , maybe McDonald ’s should think about changing their batshit insane franchise agreements .",minimum wage,PRO,17157,NEU,neutralized
train,"And , like I said , I did too .",marijuana legalization,NEU,15871,NEU,correct
test,"According to a study co-written by Freakonomics co-author Steven D. Levitt , PhD , and published in the peer-reviewed Quarterly Journal of Economics , "" legalized abortion has contributed significantly to recent crime reductions .",abortion,PRO,1330,NEU,neutralized
train,"In the overall sample , 35 percent said abortion should be permitted in all cases , while 48 percent said it should be prohibited with few or no exceptions .",abortion,NEU,523,PRO,polarized
test,The murderers get out of prison early and murder again .,death penalty,PRO,10124,PRO,correct
train,"The wages range from $ 10.50 to $ 13 an hour , depending on the size of the employer and whether the company pays toward medical benefits .",minimum wage,NEU,18354,PRO,polarized
train,"A gradualist approach that never ever waters down the Truth but starts where the person is , in the present moment and the encouragement to find the Truth in Christ .",abortion,CON,3376,CON,correct
train,"In contradistinction , contemporary renewables , or future developments thereof , can be deployed progressively and give a fast return on investment capital .",nuclear energy,CON,19141,CON,correct
train,"C ) Would this "" clone "" have a soul ?",cloning,NEU,5774,CON,polarized
train,"During his 2006 execution Joseph Clark screamed , “ it do n’t work ” and requested to take something by mouth so the torture would end when his executioners took thirty minutes to find a vein .",death penalty,CON,9795,CON,correct
train,But what does most of the research say ?,minimum wage,NEU,18779,PRO,polarized
train,"But maybe we could try to stop one act of evil , one act of violence .",gun control,PRO,12518,PRO,correct
train,"So Jacob reasonably asks , “ Is n’t this a dangerous approach ?",abortion,NEU,2093,PRO,polarized
train,"A study of postal workers found that employees who tested positive for marijuana had 55 % more accidents , 85 % more injuries and a 75 % increase in being absent from work .",marijuana legalization,CON,16055,CON,correct
train,TRUMP : I would n't fund it if they have abortion going on .,abortion,NEU,662,CON,polarized
train,"Third , other consequences of the research are uncertain .",cloning,CON,6007,CON,correct
train,Traditionally almost all school uniforms for boys include a tie and this is an inherently dangerous item of clothing .,school uniforms,CON,23465,NEU,neutralized
train,"Licensed sellers in a community sometimes attempt to increase their income by selling to minors , but when the community suspects such activity , it is a trivial task to discover which of the licensed sellers is breaking the law , and then put them out of business .",marijuana legalization,PRO,15020,PRO,correct
train,"Once all of those decision makers have agreed that a death sentence is appropriate , innocent lives would be lost from failure to impose the sentence . ”",death penalty,PRO,10280,NEU,neutralized
train,"In addition , 80 % believe an innocent person has been executed in the United States in the past five years , and 46 % say that an innocent person has been executed in Texas during George W. Bush 's tenure as governor .",death penalty,CON,8904,NEU,neutralized
dev,"What happened at St. Joseph 's was NOT an indirect abortion , which IS permissible under Catholic moral law .",abortion,NEU,2144,PRO,polarized
train,This was an extreme emergency involving a very sick woman who needed immediate treatment .,abortion,NEU,1848,PRO,polarized
train,"Uniforms would have not only never worked in my school , I 'm going to go ahead and guess that they would have created more problems than solutions .",school uniforms,CON,23350,CON,correct
train,The ABCNEWS.com poll found that 65 % of Americans support the death penalty when no alternative is offered .,death penalty,PRO,10103,PRO,correct
train,"Sustainable and renewable sources — wind , solar , hydroelectric , geothermal , tidal , etc. — will certainly have their parts to play , each contributing in their own way to supplying our energy thirsty world .",nuclear energy,NEU,19040,NEU,correct
train,"Minimum wage opponents have tended to view it as the harbinger of economic doomsday since its inception , even when it was as moderate by today ’s standards as the FLSA of 1938 was .",minimum wage,CON,18015,PRO,flipped
test,"We have committed ourselves to work together , and each within our own communities , toward ending the death penalty . ”",death penalty,CON,7935,PRO,flipped
train,Many people argue that only drug dealers should be fought and not the drug users themselves .,marijuana legalization,PRO,15585,PRO,correct
train,"Consumption of marijuana impairs the immune system and short-term memory , elevates the risk of heart attack , and causes respiratory and brain damage .",marijuana legalization,CON,16077,CON,correct
test,"But through legalization , there will be open competition and lower prices , so drug cartels , which might include terrorists , would lose some or even all of their business .",marijuana legalization,PRO,16304,PRO,correct
train,"The nuclear waste buried in pits at the production sites is no threat to Gaia and dangerous only to those foolish enough to expose themselves to its radiation . """,nuclear energy,PRO,20880,PRO,correct
dev,"It was unfortunate that that initiative was hijacked , and culminated today in the adoption of a text which sought to impose a single set of regulations on States regarding all forms of human cloning .",cloning,PRO,6388,CON,flipped
train,Nuclear energy requires substantial water to cool the reactor Nuclear power plants are only 35 % thermally efficient .,nuclear energy,CON,22165,PRO,flipped
test,"Also , even though the expense of setting up nuclear power plants is moderately high , the expense of running them is quite low low .",nuclear energy,PRO,20111,CON,flipped
train,"The Truth : Abortion certainly is used after conception so technically it is not contraceptive , but that is totally beside the point .",abortion,CON,1158,CON,correct
train,"There are reasons why employers , including the United States government , prohibit marijuana use in the workplace .",marijuana legalization,CON,14429,PRO,flipped
train,"No , they will censor nothing except the most common operation in America .",abortion,NEU,3057,NEU,correct
train,"The production of 1,000 tons of uranium fuel generates approximately 100,000 tons of radioactive tailings and nearly one million gallons of liquid waste containing heavy metals and arsenic in addition to radioactivity .",nuclear energy,CON,19857,NEU,neutralized
test,Another good time to recite the scientific proofs .,abortion,NEU,1930,NEU,correct
train,"Jonathan Groner , the trauma medical director of Children 's Hospital in Columbus , Ohio and a death penalty opponent , told ABC News in 2008 , "" One of the great ironies about capital punishment when you look at it historically is that when executions appear to be more humane , the application of the death penalty becomes less humane . """,death penalty,CON,9759,CON,correct
test,The murderer ( s ) will probably murder another person some day .,death penalty,PRO,9101,NEU,neutralized
test,"A 2012 peer-reviewed study found that one year after Sparks Middle School in Nevada instituted a uniform policy , school police data showed a 63 % drop in police log reports , and decreases were also noted in gang activity , student fights , graffiti , property damage , and battery .",school uniforms,PRO,24679,NEU,neutralized
dev,"That belief — that horror — keeps pro-lifers marching , voting , donating , and phone-banking .",abortion,CON,2746,NEU,neutralized
train,In 1976 anti-uranium groups began a major effort to persuade trade unions and their Congress delegates to adopt and support anti-uranium policies .,nuclear energy,NEU,21235,NEU,correct
dev,"Until last year , that is , when I was goosed in my psyche by the fighter-phenomenon Conor “ The Notorious ” McGregor .",gun control,NEU,12165,CON,polarized
train,One of our editors will review your suggestion and make changes if warranted .,cloning,NEU,6177,PRO,polarized
